"id","nama_distributor","alamat","kontak"
"68df481df2f303b057cebeb7","PT. Samsung Elektronik","Jakarta","021-123456"
"68df481df2f303b057cebeb8","PT. Apple Indonesia","Jakarta","021-654321"
"68df481df2f303b057cebeb9","PT. Xiaomi Indonesia","Jakarta","021-789012"
"68df481df2f303b057cebeba","PT AKG Dream Future Indonesia","Jakarta Utara","0541-2088855"
"68df481df2f303b057cebebb","PT Vivo Mobile Indonesia","Jakarta Barat","0800-1567"
"68df481df2f303b057cebebc","PT DGI (Distributor Gadget Indonesia)","Jakarta Pusat","0600-15674"
"id","nama_kategori"
"68df4289f2f303b057cebeab","Smartphone"
"68df4289f2f303b057cebeac","Tablet"
"id","nama_merk","negara_asal"
"68df41d4f2f303b057cebea4","Samsung","Korea Selatan"
"68df41d4f2f303b057cebea5","Apple","Amerika Serikat"
"68df41d4f2f303b057cebea6","Xiaomi","China"
"68df41d4f2f303b057cebea7","Oppo","Tiongkok"
"68df41d4f2f303b057cebea8","Realme","Tiongkok"
"68df41d4f2f303b057cebea9","Vivo","China"
"68df41d4f2f303b057cebeaa","Infinix","China"
"id","nama_produk","tahun_rilis","merk_id","kategori_id","nama_seri","model","harga","ram","storage","prosesor","baterai","nama_os","versi"
"68df4762f2f303b057cebead","Samsung Galaxy S21","2021","68df41d4f2f303b057cebea4","68df4289f2f303b057cebab","Galaxy S21 Series","SM-G991B","12000000","8GB","128GB","Exynos 2100","4000mAh","Android","11"
"68df4762f2f303b057cebeae","iPhone 13","2021","68df41d4f2f303b057cebea5","68df4289f2f303b057cebab","iPhone 13 Pro","A2633","15000000","6GB","128GB","Apple A15 Bionic","3240mAh","iOS","15"
"68df4762f2f303b057cebeaf","Xiaomi Redmi Note 11","2022","68df41d4f2f303b057cebea6","68df4289f2f303b057cebab","Redmi Note 11 Series","21091116AG","3500000","4GB","64GB","Snapdragon 680","5000mAh","Android","12"
"68df4762f2f303b057cebeb0","Infinix HOT 60 Pro","2024","68df41d4f2f303b057cebeaa","68df4289f2f303b057cebab","Pro","A8767","8000000","4GB","128GB","Snapdragon 280","4000mAh","Android","11"
"68df4762f2f303b057cebeb1","Oppo Reno 14","2024","68df41d4f2f303b057cebea7","68df4289f2f303b057cebab","Reno","A19274","6000000","8GB","256GB","Snapdragon 680","5000mAh","Android","12"
"68df4762f2f303b057cebeb2","Realme GT 7","2023","68df41d4f2f303b057cebea8","68df4289f2f303b057cebab","GT 7","A36289","8500000","6GB","128GB","Snapdragon 8 Elite","4000mAh","Android","10"
"68df4762f2f303b057cebeb3","Vivo X200","2025","68df41d4f2f303b057cebea9","68df4289f2f303b057cebab","X200","A92748","1100000","8GB","256GB","Snapdragon 280","5000mAh","Andorid","12"
"68df4762f2f303b057cebeb4","Samsung Galaxy Tab S10","2024","68df41d4f2f303b057cebea4","68df4289f2f303b057cebac","S10","A8617","10000000","6GB","256GB","MediaTek Dimensity 9300","4000mAh","Android","10"
"68df4762f2f303b057cebeb5","iPad Air Gen 11","2021","68df41d4f2f303b057cebea5","68df4289f2f303b057cebac","Gen 11","B91084","23000000","6GB","128GB","Bionic A16","3000mAh","iOS","11"
"68df4762f2f303b057cebeb6","Oppo Pad Air","2022","68df41d4f2f303b057cebea7","68df4289f2f303b057cebac","Pad Air","B38402","19000000","6GB","128GB","Snapdragon 680","4500mAh","Android","10"
"id","id_produk","tgl_cek"
"68df5250f2f303b057cebed6","68df50eff2f303b057cebece","2025-09-15"
"68df5250f2f303b057cebed7","68df50eff2f303b057cebecf","2025-09-16"
"68df5250f2f303b057cebed8","68df50eff2f303b057cebecd","2025-09-18"
"id","id_produk","id_distributor","jumlah","tgl_update"
"68df5295f2f303b057cebed9","68df4762f2f303b057cebead","68df481df2f303b057cebeb7","8","2025-09-01"
"68df5295f2f303b057cebeda","68df4762f2f303b057cebeae","68df481df2f303b057cebeb8","10","2025-09-05"
"68df5295f2f303b057cebedb","68df4762f2f303b057cebeaf","68df481df2f303b057cebeb9","11","2025-09-10"
"68df5295f2f303b057cebedc","68df4762f2f303b057cebeb0","68df481df2f303b057cebeb9","20","2025-09-07"
"68df5295f2f303b057cebedd","68df4762f2f303b057cebeb1","68df481df2f303b057cebebc","25","2025-09-05"
"68df5295f2f303b057cebede","68df4762f2f303b057cebeb2","68df481df2f303b057cebeba","15","2025-09-07"
"68df5295f2f303b057cebedf","68df4762f2f303b057cebeb3","68df481df2f303b057cebebc","20","2025-09-06"
"68df5295f2f303b057cebee0","68df4762f2f303b057cebeb4","68df481df2f303b057cebeb7","20","2025-09-03"
"68df5295f2f303b057cebee1","68df4762f2f303b057cebeb5","68df481df2f303b057cebeb8","21","2025-09-08"
"68df5295f2f303b057cebee2","68df4762f2f303b057cebeb6","68df481df2f303b057cebeba","15","2025-09-04"
"id","email","nama_user","password","hak_akses"
"68df50eff2f303b057cebecd","admin@gmail.com","Admin","admin123","admin"
"68df50eff2f303b057cebece","budi@gmail.com","Budi","budi18349","user"
"68df50eff2f303b057cebecf","putri@gmail.com","putri","putri7392","user"
